,AtomicNumber,Element,Symbol,AtomicMass,NumberofNeutrons,NumberofProtons,NumberofElectrons,Period,Group,Phase,Natural,Metal,Nonmetal,Metalloid,Type,AtomicRadius,Electronegativity,FirstIonization,Density,MeltingPoint,BoilingPoint,NumberOfIsotopes
0,1.0,Hydrogen,H,1.007,0.0,1.0,1.0,1.0,1.0,gas,yes,,yes,,Nonmetal,0.79,2.2,13.5984,8.99e-05,14.175,20.28,3.0
1,2.0,Helium,He,4.002,2.0,2.0,2.0,1.0,18.0,gas,yes,,yes,,Noble Gas,0.49,0.0,24.5874,0.000179,0.95,4.22,5.0
2,3.0,Lithium,Li,6.941,4.0,3.0,3.0,2.0,1.0,solid,yes,yes,,,Alkali Metal,2.1,0.98,5.3917,0.534,453.85,1615.0,5.0
3,4.0,Beryllium,Be,9.012,5.0,4.0,4.0,2.0,2.0,solid,yes,yes,,,Alkaline Earth Metal,1.4,1.57,9.3227,1.85,1560.15,2742.0,6.0
4,5.0,Boron,B,10.811,6.0,5.0,5.0,2.0,13.0,solid,yes,,,yes,Metalloid,1.2,2.04,8.298,2.34,2573.15,4200.0,6.0
5,6.0,Carbon,C,12.011,6.0,6.0,6.0,2.0,14.0,solid,yes,,yes,,Nonmetal,0.91,2.55,11.2603,2.27,3948.15,4300.0,7.0
6,7.0,Nitrogen,N,14.007,7.0,7.0,7.0,2.0,15.0,gas,yes,,yes,,Nonmetal,0.75,3.04,14.5341,0.00125,63.29,77.36,8.0
7,8.0,Oxygen,O,15.999,8.0,8.0,8.0,2.0,16.0,gas,yes,,yes,,Nonmetal,0.65,3.44,13.6181,0.00143,50.5,90.2,8.0
8,9.0,Fluorine,F,18.998,10.0,9.0,9.0,2.0,17.0,gas,yes,,yes,,Halogen,0.57,3.98,17.4228,0.0017,53.63,85.03,6.0
9,10.0,Neon,Ne,20.18,10.0,10.0,10.0,2.0,18.0,gas,yes,,yes,,Noble Gas,0.51,0.0,21.5645,0.0009,24.703,27.07,8.0
10,11.0,Sodium,Na,22.99,12.0,11.0,11.0,3.0,1.0,solid,yes,yes,,,Alkali Metal,2.2,0.93,5.1391,0.971,371.15,1156.0,7.0
11,12.0,Magnesium,Mg,24.305,12.0,12.0,12.0,3.0,2.0,solid,yes,yes,,,Alkaline Earth Metal,1.7,1.31,7.6462,1.74,923.15,1363.0,8.0
12,13.0,Aluminum,Al,26.982,14.0,13.0,13.0,3.0,13.0,solid,yes,yes,,,Metal,1.8,1.61,5.9858,2.7,933.4,2792.0,8.0
